SKU,NOMBRE,DESCRIPCION_CORTA
71193          ,270718_RINCONERO LUXOR.png,1
71220          ,234356_palace s2 blanca escorial.png,1
71234          ,246268_71234-COCINA 5517F NEGRA FLORENCIA.png,1
71235          ,246268_71235-COCINA 5516F BLANCA FLORENCIA.png,1
71236          ,246268_71236-COCINA 5536F BLANCA FLORENCIA.png,1
71237          ,246268_71237-COCINA 5537F NEGRA FLORENCIA.png,1
71238          ,246268_71238-COCINA 5538F INOX FLORENCIA.png,1
71263          ,255464_40719-HELADERA TOP MOUNT 2F1600B BAMBI.png,1
71268          ,232816_71268-TOSTADORA TO1301W SMARTLIFE.png,1
71269          ,248014_71269-LICUADORA BL1008WPN SMARTLIFE.png,1
71270          ,248014_71270-LICUADORA DE MANO SM6038WPN SMARTLIFE.png,1
71281          ,234356_palace s2 blanca escorial.png,1
71290          ,252254_71290-COLCHON PARAISO REAL II 0.80X1.90 PIERO.png,1
71318          ,252364_71318-TERMOTANQUE TP860AR-N  LONGVIE.png,1
71342          ,253823_71342-COLCHON GRAN SUENO F 0.80X1.90X0.20 GANI.png,1
71351          ,249871_71351-LAVARROPAS NEXT 10.png,1
